Protein	S.cerevisiae	A.fumigatus	C.neoformans	C.parapsilosis	F.graminearum	S.bayanus	L.kluyveri	S.mikatae	S.paradoxus	M.oryzae	N.crassa	S.pombe	A.nidulans	C.glabrata	C.albicans	N.castellii	N.discreta	N.tetrasperma	S.kudriavzevii
NP_011486.1	0.019218554299700003	0.024522219636900003	0.0157261314389	0.033456366162	0.0149594382049	0.0836312573331	0.0942123704455	0.0836312573331	0.019218554299700003	0.011304418455100001	0.0719927671452	0.0507521823397	0.027396916984599996	0.0427572548092	0.0395999291554	0.0410385348945	0.0719927671452	0.0719927671452	0.0619282645955
NP_011829.1	0.0290236022148	NA	NA	NA	NA	0.0100963870171	0.0381052992052	0.0100963870171	0.0290236022148	NA	NA	NA	NA	0.021362905428499997	NA	0.0288262426513	NA	NA	0.0213469407696
NP_011949.1	0.0138718788353	0.0293558196643	0.0202630318575	0.08644366841260001	0.0048166337462799995	0.0497833517585	0.0611616299994	0.0497833517585	0.0138718788353	0.014637140318299999	0.147009329174	0.00366837193362	0.0668890147626	0.0108511731588	0.00582859380807	0.030751489299499998	0.147009329174	0.147009329174	0.0050964018374
NP_010914.3	0.020529888759	0.018637359202400002	0.0142620845885	0.0111842762119	0.0319318599231	0.025679663196200003	0.00155283803813	0.025679663196200003	0.020529888759	0.0039236243799	0.050343980780499994	0.162461929992	0.021426006323000003	0.0171227962511	0.0226948668749	0.0164267617959	0.050343980780499994	0.050343980780499994	0.00363993955632
NP_015348.1	0.0224566096243	0.00933900835373	0.0197372301586	0.0139485953373	0.00995617599077	0.0137318350514	0.0407380241845	0.0137318350514	0.0224566096243	0.014769069579799999	0.0073824133690600004	0.0840502668509	0.0070048484089	0.0290977323937	0.103914313758	0.014874176303000001	0.0073824133690600004	0.0073824133690600004	0.00138142987784
NP_010425.1	0.0114774257775	0.021428818667000003	0.0129724660185	0.00431772212671	0.025668929849400002	0.015054381273100001	0.0307941829611	0.015054381273100001	0.0114774257775	0.007081365457350001	0.0725227407932	0.0811151162904	0.009587374385540002	0.00798994335328	0.0146162171136	0.0420443226322	0.0725227407932	0.0725227407932	0.0142380761945
NP_012659.1	0.0151299038738	0.014317039916799999	0.0147061907847	0.0062117756041799995	0.00747556425325	0.040918574171800004	0.0379598885143	0.040918574171800004	0.0151299038738	0.00422647054911	0.045390049569100005	0.0182401145752	0.011082135171299998	0.008464314466649999	0.0077760869275799996	0.0156592472456	0.045390049569100005	0.045390049569100005	0.0564010743432
NP_015006.3	0.00599178457057	0.00768528073874	NA	0.042971938669999994	0.00358076669837	0.0458807841773	0.00552133547002	0.0458807841773	0.00599178457057	0.00279189133301	0.11524100342900001	0.0814550099483	0.0172448641202	0.021108253484400003	0.01690775907	0.016780690891	0.11524100342900001	0.11524100342900001	0.0154008560854
NP_014074.1	0.0259927998971	0.025785293203400002	0.028575916582800003	0.0192442230994	0.07675761108139999	0.0170695896013	0.00806617855946	0.0170695896013	0.0259927998971	0.0195154576282	0.06889205367060001	0.0012535044946199998	0.00415291396187	0.00956451192985	0.021577101433099998	0.011807237862799998	0.06889205367060001	0.06889205367060001	0.0120644411023
NP_010532.3	0.024646086841099996	0.046299189480999994	0.0100926647949	0.032687590645699996	0.029990879516099998	0.0631459537747	0.042640438692300005	0.0631459537747	0.024646086841099996	0.00131174005523	0.126286554052	0.132649561019	NA	0.032366126328599996	0.0221957678855	0.0184317993843	0.126286554052	0.126286554052	0.0385102257378
