Protein	GO
NP_009360.1	GO:0045787
NP_009360.1	GO:0000079
NP_009360.1	GO:0007088
NP_009360.1	GO:0004672
NP_009360.1	GO:0000278
NP_009360.1	GO:0005813
NP_009360.1	GO:0016538
NP_009360.1	GO:0000086
NP_009359.1	GO:0030010
NP_009359.1	GO:0031106
NP_009359.1	GO:0032153
NP_009359.1	GO:0005737
NP_009359.1	GO:0000282
NP_009359.1	GO:0043577
NP_009359.1	GO:0005085
NP_009359.1	GO:0005935
NP_009359.1	GO:0005934
NP_009359.1	GO:0072697
NP_009359.1	GO:0000935
NP_009359.1	GO:0000131
NP_009359.1	GO:0007096
NP_009359.1	GO:0005089
NP_009359.1	GO:0035556
NP_009359.1	GO:0005634
NP_009359.1	GO:0035023
NP_009359.1	GO:0043332
NP_009359.1	GO:0007264
NP_009359.1	GO:0120171
NP_009358.1	GO:0016021
NP_009358.1	GO:0005789
NP_009358.1	GO:0005794
NP_009358.1	GO:0003674
NP_009358.1	GO:0006890
NP_009358.1	GO:0015031
NP_009358.1	GO:0016020
NP_009358.1	GO:0030134
NP_009358.1	GO:0030173
NP_009358.1	GO:0030176
NP_009358.1	GO:0005783
NP_009358.1	GO:0000139
NP_009358.1	GO:0006888
NP_009358.1	GO:0016192
NP_009356.1	GO:0098789
NP_009356.1	GO:0006378
NP_009356.1	GO:0005634
NP_009356.1	GO:0008033
NP_009356.1	GO:0005847
NP_009356.1	GO:0006397
NP_009356.1	GO:0030846
NP_009356.1	GO:0003723
NP_009355.3	GO:0005960
NP_009355.3	GO:0004375
NP_009355.3	GO:0019464
NP_009355.3	GO:0009249
NP_009355.3	GO:0005739
NP_009355.3	GO:0055114
NP_009355.3	GO:0006730
NP_009355.3	GO:0006546
NP_075206.1	GO:0044572
NP_075206.1	GO:0005739
NP_075206.1	GO:0003674
NP_075206.1	GO:0106035
NP_075206.1	GO:0005759
NP_009353.1	GO:0005739
NP_009353.1	GO:0003674
NP_009353.1	GO:0106035
NP_009353.1	GO:0005759
NP_009352.2	GO:0007049
NP_009352.2	GO:0005737
NP_009352.2	GO:0005200
NP_009352.2	GO:0005856
NP_009352.2	GO:0031578
NP_009352.2	GO:0000070
NP_009352.2	GO:0005816
NP_009352.2	GO:0005824
NP_009352.2	GO:0007020
NP_009352.2	GO:0000741
NP_009352.2	GO:0000022
NP_009352.2	GO:0030473
NP_009352.2	GO:0051301
NP_009351.1	GO:0007266
NP_009351.1	GO:0055091
NP_009351.1	GO:0031307
NP_009351.1	GO:0000001
NP_009351.1	GO:0005509
NP_009351.1	GO:0032865
NP_009351.1	GO:0005739
NP_009351.1	GO:1990456
NP_009351.1	GO:0003924
NP_009351.1	GO:0016020
NP_009351.1	GO:0010821
NP_009351.1	GO:0005741
NP_009351.1	GO:0007005
NP_009351.1	GO:0005525
NP_009351.1	GO:0016021
NP_009351.1	GO:0046872
NP_009351.1	GO:0000166
NP_009351.1	GO:0016787
NP_009350.1	GO:0003674
NP_009350.1	GO:0008150
NP_009350.1	GO:0005737
NP_009350.1	GO:0016787
NP_009349.3	GO:0030435
NP_009349.3	GO:0006355
NP_009349.3	GO:0046872
NP_009349.3	GO:0001228
NP_009349.3	GO:0031940
NP_009349.3	GO:0000978
NP_009349.3	GO:0000981
NP_009349.3	GO:0045944
NP_009349.3	GO:0061429
NP_009349.3	GO:0003677
NP_009349.3	GO:0043565
NP_009349.3	GO:0032000
NP_009349.3	GO:0008270
NP_009349.3	GO:0005634
NP_009349.3	GO:0089716
NP_009348.2	GO:0071476
NP_009348.2	GO:0005783
NP_009348.2	GO:0015230
NP_009348.2	GO:0006457
NP_009348.2	GO:0055074
NP_009348.2	GO:0030148
NP_009348.2	GO:0005737
NP_009348.2	GO:0016021
NP_009348.2	GO:0015883
NP_009348.2	GO:0009272
NP_009348.2	GO:0005789
NP_009348.2	GO:0055085
NP_009348.2	GO:0035350
NP_009348.2	GO:0016020
NP_009347.1	GO:0005737
NP_009347.1	GO:0016208
NP_009347.1	GO:0016880
NP_009347.1	GO:0016573
NP_009347.1	GO:0005634
NP_009347.1	GO:0043231
NP_009347.1	GO:0019427
NP_009347.1	GO:0019654
